text	motif
16	когда облонский узнал что поезд на котором приехала анна раздавил сцепщика он в смятении побежал к месту происшествия и потом страдая морщась готовый заплакать все повторял ах анна если бы ты видела
21	на другой день по их приезде пошел проливной дождь и ночью потекло в коридоре и в детской так что кроватки перенесли в гостиную
21	это стало особенно ощутимым когда долли с детьми приехала в имение на другой день по их приезде пошел проливной дождь и ночью потекло в коридоре и в детской так что кроватки перенесли в гостиную
21	на другой день по их приезде пошел проливной дождь и ночью потекло в коридоре и в детской так что кроватки перенесли в гостиную
60	дело было прочтено степан аркадьич встал потянувшись и отдавая дань либеральности времени в присутствии достал папироску и пошел в свой кабинет
61	ну пойдем в кабинет сказал степан аркадьич знавший самолюбивую и озлобленную застенчивость своего приятеля и схватив его за руку он повлек его за собой как будто проводя между опасностями
61	ну пойдем в кабинет сказал степан аркадьич знавший самолюбивую и озлобленную застенчивость своего приятеля и схватив его за руку он повлек его за собой как будто проводя между опасностями
76	речь шла о модном вопросе есть ли граница между психическими и физиологическими явлениями в деятельности человека и где она
76	речь шла о модном вопросе есть ли граница между психическими и физиологическими явлениями в деятельности человека и где она
83	он шел по дорожке к катку и говорил себе надо не волноваться надо успокоиться
83	ix в 4 часа чувствуя свое бьющееся сердце левин слез с извозчика у зоологического сада и пошел дорожкой к горам и катку наверное зная что найдет ее там потому что видел карету щербацких у подъезда
83	он шел по дорожке к катку и говорил себе надо не волноваться надо успокоиться
83	чувствуя свое бьющееся сердце левин слез с извозчика у зоологического сада и пошел дорожкой к горам и катку наверное зная что найдет ее там потому что видел карету щербацких у подъезда
89	подумал левин и побежал к старой француженке с седыми букольками сидевшей на скамейке
89	подумал левин и побежал к старой француженке с седыми букольками сидевшей на скамейке
146	он извинился и пошел было в вагон но почувствовал необходимость еще раз взглянуть на нее не потому что она была очень красива не по тому изяществу и скромной грации которые видны были во всей ее фигуре но потому что в выражении миловидного лица когда она прошла мимо его было что-то особенно ласковое и нежное
146	xviii вронский пошел за кондуктором в вагон и при входе в отделение остановился чтобы дать дорогу выходившей даме
146	он извинился и пошел было в вагон но почувствовал необходимость еще раз взглянуть на нее не потому что она была очень красива не по тому изяществу и скромной грации которые видны были во всей ее фигуре но потому что в выражении миловидного лица когда она прошла мимо его было что-то особенно ласковое и нежное
158	ну пойдем я тебя проведу в твою комнату продолжала она стараясь отдалить сколько возможно минуту объяснения
158	ну пойдем я тебя проведу в твою комнату
158	ну пойдем я тебя проведу в твою комнату продолжала она стараясь отдалить сколько возможно минуту объяснения
165	ну пойдем я тебя проведу в твою комнату
165	ну пойдем я тебя проведу в твою комнату сказала она вставая и по дороге долли обняла анну
211	один этот вопрос ввел левина во все подробности хозяйства которое было большое и сложное и он прямо из коровника пошел в контору и поговорив с приказчиком и с семеном рядчиком вернулся домой и прямо прошел наверх в
216	после обеда анна пошла одеваться в свою комнату и долли
224	она чувствовала что глаза ее раскрываются больше и больше что пальцы на руках и ногах нервно движутся что в груди что-то давит дыханье и что все образы и звуки в этом колеблющемся полумраке с необычайною
245	чтобы совершенно успокоиться она пошла в детскую и весь вечер провела с сыном сама уложила его спать перекрестила и покрыла его одеялом
245	чтобы совершенно успокоиться она пошла в детскую и весь вечер провела с сыном сама уложила его спать перекрестила и покрыла его одеялом
247	допив со сливками и хлебом свой второй стакан чая алексей александрович встал и пошел в свой кабинет
247	допив со сливками и хлебом свой второй стакан чая алексей александрович встал и пошел в свой кабинет
289	дело было прочтено степан аркадьич встал потянувшись и отдавая дань либеральности времени в присутствии достал папироску и пошел в свой кабинет
289	когда дело было прочтено степан аркадьич встал потянувшись и отдавая дань либеральности времени в присутствии достал папироску и пошел в свой кабинет
291	ну пойдем в кабинет сказал степан аркадьич знавший самолюбивую и озлобленную застенчивость своего приятеля и схватив его за руку он повлек его за собой как будто проводя между опасностями
291	ну пойдем в кабинет сказал степан аркадьич знавший самолюбивую и озлобленную застенчивость своего приятеля и схватив его за руку он повлек его за собой как будто проводя между опасностями
306	речь шла о модном вопросе есть ли граница между психическими и физиологическими явлениями в деятельности человека и где она
306	речь шла о модном вопросе есть ли граница между психическими и физиологическими явлениями в деятельности человека и где она
315	он шел по дорожке к катку и говорил себе надо не волноваться надо успокоиться
315	он шел по дорожке к катку и говорил себе надо не волноваться надо успокоиться
315	чувствуя свое бьющееся сердце левин слез с извозчика у зоологического сада и пошел дорожкой к горам и катку наверное зная что найдет ее там потому что видел карету щербацких у подъезда
321	подумал левин и побежал к старой француженке с седыми букольками сидевшей на скамейке
321	подумал левин и побежал к старой француженке с седыми букольками сидевшей на скамейке
383	он извинился и пошел было в вагон но почувствовал необходимость еще раз взглянуть на нее не потому что она была очень красива не по тому изяществу и скромной грации которые видны были во всей ее фигуре но потому что в выражении миловидного лица когда она прошла мимо его было что-то особенно ласковое и нежное
383	он извинился и пошел было в вагон но почувствовал необходимость еще раз взглянуть на нее не потому что она была очень красива не по тому изяществу и скромной грации которые видны были во всей ее фигуре но потому что в выражении миловидного лица когда она прошла мимо его было что-то особенно ласковое и нежное
395	ну пойдем я тебя проведу в твою комнату продолжала она стараясь отдалить сколько возможно минуту объяснения
395	ну пойдем я тебя проведу в твою комнату продолжала она стараясь отдалить сколько возможно минуту объяснения
395	ну пойдем я тебя проведу в твою комнату
402	ну пойдем я тебя проведу в твою комнату
460	после обеда анна пошла одеваться в свою комнату и долли пошла за ней
460	после обеда анна пошла одеваться в свою комнату и долли
468	она чувствовала что глаза ее раскрываются больше и больше что пальцы на руках и ногах нервно движутся что в груди что-то давит дыханье и что все образы и звуки в этом колеблющемся полумраке с необычайною
468	она чувствовала что глаза ее раскрываются больше и больше что пальцы на руках и ногах нервно движутся что в груди что-то давит дыханье и что все образы и звуки в этом колеблющемся полумраке с необычайною яркостью
491	чтобы совершенно успокоиться она пошла в детскую и весь вечер провела с сыном сама уложила его спать перекрестила и покрыла его одеялом
491	чтобы совершенно успокоиться она пошла в детскую и весь вечер провела с сыном сама уложила его спать перекрестила и покрыла его одеялом
493	допив со сливками и хлебом свой второй стакан чая алексей александрович встал и пошел в свой кабинет
493	допив со сливками и хлебом свой второй стакан чая алексей александрович встал и пошел в свой кабинет
507	о уже пора и пошел к двери
507	о уже пора и пошел к двери
557	сказала она скинула башлык и не останавливаясь пошла дальше в уборную
557	сказала она скинула башлык и не останавливаясь пошла дальше в уборную
575	xiii левин надел большие сапоги и в первый раз не шубу а суконную поддевку и пошел по хозяйству шагая через ручьи режущие глаза своим блеском на солнце ступая то на ледок то в липкую грязь
575	раз не шубу а суконную поддевку и пошел по хозяйству шагая через ручьи режущие глаза своим блеском на солнце ступая то на ледок то в липкую грязь
576	пастух весело побежал собираться в поле
576	пастух весело побежал собираться в поле
579	левин сердито махнул рукой пошел к амбарам взглянуть овес и вернулся к конюшне
579	левин сердито махнул рукой пошел к амбарам взглянуть овес и вернулся к конюшне
583	увидав хозяина василий-работник пошел к телеге а мишка принялся рассевать
583	увидав хозяина василий-работник пошел к телеге а мишка принялся рассевать
588	как хотите делайте только поскорей сказал он и пошел к приказчику
588	как хотите делайте только поскорей сказал он и пошел к приказчику
600	и побежал с лаской в чащу отыскивать вальдшнепа
602	он и не пойдет на дело где ему предстоит десять пятнадцать процентов а он ждет чтобы купить за двадцать
604	положительно всю дорогу пешком шел но явился в срок
604	положительно всю дорогу пешком шел но явился в срок
619	пошли ко мне на дом чтобы закладывали поскорей коляску тройкой сказал он слуге подававшему ему бифстек на серебряном горячем блюде и придвинув блюдо стал есть
619	пошли ко мне на дом чтобы закладывали поскорей коляску тройкой сказал он слуге подававшему ему бифстек на серебряном горячем блюде и придвинув блюдо стал есть
620	пойдем в бильярдную сказал он
620	пойдем в бильярдную сказал он
623	пойдем я кончил сказал вронский и встав пошел к двери
623	пойдем я кончил сказал вронский и встав пошел к двери
626	петрицкий пошел за перегородку и лег на свою кровать
626	петрицкий пошел за перегородку и лег на свою кровать
630	в то время когда он шел по коридору мальчик отворил дверь во второй денник налево и вронский увидел рыжую крупную лошадь и белые ноги
630	в то время когда он шел по коридору мальчик отворил дверь во второй денник налево и вронский увидел рыжую крупную лошадь и белые ноги
637	он не пошел на крыльцо с улицы но вошел во двор
637	он не пошел на крыльцо с улицы но вошел во двор
638	и убедившись что она одна и желая застать ее врасплох так как он не обещался быть нынче и она верно не думала что он приедет пред скачками он пошел придерживая саблю и осторожно шагая по песку дорожки обсаженной цветами к террасе выходившей в сад
638	скачками он пошел придерживая саблю и осторожно шагая по песку дорожки обсаженной цветами к террасе выходившей в сад
640	присутствие этого ребенка вызывало во вронском и в анне чувство подобное чувству мореплавателя видящего по компасу что направление по которому он быстро движется далеко расходится с надлежащим но что остановить движение не в его силах что каждая минута удаляет его больше и больше от должного направления и что признаться себе в отступлении все равно что признаться в погибели
640	присутствие этого ребенка вызывало во вронском и в анне чувство подобное чувству мореплавателя видящего по компасу что направление по которому он быстро движется далеко расходится с надлежащим но что остановить движение не в его силах что каждая минута удаляет его больше и больше от должного направления и что признаться себе в отступлении все равно что признаться в погибели
668	он чувствовал что лошадь шла из последнего запаса не только шея и плечи ее были мокры но на загривке на голове на острых ушах каплями выступал пот и она дышала резко и коротко
668	он чувствовал что лошадь шла из последнего запаса не только шея и плечи ее были мокры но на загривке на голове на острых ушах каплями выступал пот и она дышала резко и коротко
670	но она не двигалась а уткнув храп в землю только смотрела на хозяина своим говорящим взглядом
670	но она не двигалась а уткнув храп в землю только смотрела на хозяина своим говорящим взглядом
684	здесь столько блеска что глаза разбежались сказал он и пошел в беседку
684	здесь столько блеска что глаза разбежались сказал он и пошел в беседку
700	и действительно кити видела что она всегда занята или она уводит с вод детей русского семейства или несет плед для больной и укутывает ее или старается развлечь раздраженного больного или выбирает и покупает печенье к кофею для кого-то
700	и действительно кити видела что она всегда занята или она уводит с вод детей русского семейства или несет плед для больной и укутывает ее или старается развлечь раздраженного больного или выбирает и покупает печенье к кофею для кого-то
703	выбрав время когда дочь ее пошла к ключу а варенька остановилась против булочника княгиня подошла к ней
703	выбрав время когда дочь ее пошла к ключу а варенька остановилась против булочника княгиня подошла к ней
722	на другой день по своем приезде князь в своем длинном пальто со своими русскими морщинами и одутловатыми щеками подпертыми крахмаленными воротничками в самом веселом расположении духа пошел с дочерью на воды
722	на другой день по своем приезде князь в своем длинном пальто со своими русскими морщинами и одутловатыми щеками подпертыми крахмаленными воротничками в самом веселом расположении духа пошел с дочерью на воды
734	пойдешь ходить ну подойдешь к лавочке просят купить эрлаухт эксцеленц дурхлаухт
734	пойдешь ходить ну подойдешь к лавочке просят купить эрлаухт эксцеленц дурхлаухт
735	оправившись она простилась и пошла в дом чтобы взять шляпу
735	оправившись она простилась и пошла в дом чтобы взять шляпу
738	кити с гордым видом не помирившись с своим другом взяла со стола коральки в коробочке и пошла к матери
738	кити с гордым видом не помирившись с своим другом взяла со стола коральки в коробочке и пошла к матери
745	о уже пора и пошел к двери
745	о уже пора и пошел к двери
799	сказала она скинула башлык и не останавливаясь пошла дальше в уборную
799	сказала она скинула башлык и не останавливаясь пошла дальше в уборную
819	раз не шубу а суконную поддевку и пошел по хозяйству шагая через ручьи режущие глаза своим блеском на солнце ступая то на ледок то в липкую грязь
819	пастух весело побежал собираться в поле
819	пастух весело побежал собираться в поле
822	левин сердито махнул рукой пошел к амбарам взглянуть овес и вернулся к конюшне
822	левин сердито махнул рукой пошел к амбарам взглянуть овес и вернулся к конюшне
827	увидав хозяина василий-работник пошел к телеге а мишка принялся рассевать
827	увидав хозяина василий-работник пошел к телеге а мишка принялся рассевать
832	как хотите делайте только поскорей сказал он и пошел к приказчику
832	как хотите делайте только поскорей сказал он и пошел к приказчику
841	она летела прямо на него близкие звуки хорканья похожие на равномерное наддирание тугой ткани раздались над самым ухом уже виден стал длинный нос и шея птицы и в ту минуту как левин приложился из-за куста где стоял облонский блеснула красная молния птица как стрела спустилась и взмыла опять кверху
844	вскрикнул левин и побежал с лаской в чащу отыскивать вальдшнепа
844	и побежал с лаской в чащу отыскивать вальдшнепа
847	он и не пойдет на дело где ему предстоит десять пятнадцать процентов а он ждет чтобы купить за двадцать копеек рубль
847	он и не пойдет на дело где ему предстоит десять пятнадцать процентов а он ждет чтобы купить за двадцать
848	положительно всю дорогу пешком шел но явился в срок
848	положительно всю дорогу пешком шел но явился в срок
866	пошли ко мне на дом чтобы закладывали поскорей коляску тройкой сказал он слуге подававшему ему бифстек на серебряном горячем блюде и придвинув блюдо стал есть
866	пошли ко мне на дом чтобы закладывали поскорей коляску тройкой сказал он слуге подававшему ему бифстек на серебряном горячем блюде и придвинув блюдо стал есть
867	пойдем в бильярдную сказал он
867	пойдем в бильярдную сказал он
870	пойдем я кончил сказал вронский и встав пошел к двери
870	пойдем я кончил сказал вронский и встав пошел к двери
873	петрицкий пошел за перегородку и лег на свою кровать
873	петрицкий пошел за перегородку и лег на свою кровать
877	в то время когда он шел по коридору мальчик отворил дверь во второй денник налево и вронский увидел рыжую крупную лошадь и белые ноги
877	в то время когда он шел по коридору мальчик отворил дверь во второй денник налево и вронский увидел рыжую крупную лошадь и белые ноги
885	он не пошел на крыльцо с улицы но вошел во двор
885	он не пошел на крыльцо с улицы но вошел во двор
886	скачками он пошел придерживая саблю и осторожно шагая по песку дорожки обсаженной цветами к террасе выходившей в сад
888	присутствие этого ребенка вызывало во вронском и в анне чувство подобное чувству мореплавателя видящего по компасу что направление по которому он быстро движется далеко расходится с надлежащим но что остановить движение не в его силах что каждая минута удаляет его больше и больше от должного направления и что признаться себе в отступлении все равно что признаться в погибели
888	присутствие этого ребенка вызывало во вронском и в анне чувство подобное чувству мореплавателя видящего по компасу что направление по которому он быстро движется далеко расходится с надлежащим но что остановить движение не в его силах что каждая минута удаляет его больше и больше от должного направления и что признаться себе в отступлении все равно что признаться в погибели
917	он чувствовал что лошадь шла из последнего запаса не только шея и плечи ее были мокры но на загривке на голове на острых ушах каплями выступал пот и она дышала резко и коротко
917	он чувствовал что лошадь шла из последнего запаса не только шея и плечи ее были мокры но на загривке на голове на острых ушах каплями выступал пот и она дышала резко и коротко
919	но она не двигалась а уткнув храп в землю только смотрела на хозяина своим говорящим взглядом
919	но она не двигалась а уткнув храп в землю только смотрела на хозяина своим говорящим взглядом
935	здесь столько блеска что глаза разбежались сказал он и пошел в беседку
935	здесь столько блеска что глаза разбежались сказал он и пошел в беседку
951	и действительно кити видела что она всегда занята или она уводит с вод детей русского семейства или несет плед для больной и укутывает ее или старается развлечь раздраженного больного или выбирает и покупает печенье к кофею для кого-то
951	и действительно кити видела что она всегда занята или она уводит с вод детей русского семейства или несет плед для больной и укутывает ее или старается развлечь раздраженного больного или выбирает и покупает печенье к кофею для кого-то
955	выбрав время когда дочь ее пошла к ключу а варенька остановилась против булочника княгиня подошла к ней
955	выбрав время когда дочь ее пошла к ключу а варенька остановилась против булочника княгиня подошла к ней
976	на другой день по своем приезде князь в своем длинном пальто со своими русскими морщинами и одутловатыми щеками подпертыми крахмаленными воротничками в самом веселом расположении духа пошел с дочерью на воды
976	на другой день по своем приезде князь в своем длинном пальто со своими русскими морщинами и одутловатыми щеками подпертыми крахмаленными воротничками в самом веселом расположении духа пошел с дочерью на воды
988	пойдешь ходить ну подойдешь к лавочке просят купить эрлаухт эксцеленц дурхлаухт
988	пойдешь ходить ну подойдешь к лавочке просят купить эрлаухт эксцеленц дурхлаухт
989	оправившись она простилась и пошла в дом чтобы взять шляпу
989	оправившись она простилась и пошла в дом чтобы взять шляпу
992	кити с гордым видом не помирившись с своим другом взяла со стола коральки в коробочке и пошла к матери
992	кити с гордым видом не помирившись с своим другом взяла со стола коральки в коробочке и пошла к матери
1001	нет мне только на минутку забежать в контору говорил левин и убегал в поле
1001	нет мне только на минутку забежать в контору говорил левин и убегал в поле
1006	деньги мы платим они идут на жалованье а нет ни школ ни фельдшеров ни повивальных бабок ни аптек ничего нет
1006	деньги мы платим они идут на жалованье а нет ни школ ни фельдшеров ни повивальных бабок ни аптек ничего нет
1013	константин левин уже отвлекся стал представлять председателя и алешку-дурачка ему казалось что это все идет к делу
1013	константин левин уже отвлекся стал представлять председателя и алешку-дурачка ему казалось что это все идет к делу
1017	с вечера константин левин пошел в контору сделал распоряжение о работах и послал по деревням вызывать на завтра косцов с тем чтобы косить калиновый луг самый большой
1017	с вечера константин левин пошел в контору сделал распоряжение о работах и послал по деревням вызывать на завтра косцов с тем чтобы косить калиновый луг самый большой и лучший
1021	левин шел за ним стараясь не отставать и ему становилось все труднее и труднее наступала минута когда он чувствовал у него не остается более сил но в это самое время тит останавливался и точил
1021	левин шел за ним стараясь не отставать и ему становилось все труднее и труднее наступала минута когда он чувствовал у него не остается более сил но в это самое время тит останавливался и точил
1023	одни мужики пошли к кафтанам и надели их другие точно так же как левин только радостно пожимали плечами под приятным освежением
1023	одни мужики пошли к кафтанам и надели их другие точно так же как левин только радостно пожимали плечами под приятным освежением
1024	левин отдал косу титу и с мужиками пошедшими к кафтанам за хлебом чрез слегка побрызганные дождем ряды длинного скошенного пространства пошел к лошади
1028	и мальчиков которые с разных сторон чуть видные по высокой траве и по дороге шли к косцам неся оттягивавшие им ручонки узелки с хлебом и заткнутые тряпками кувшинчики с квасом
1028	заходя ряд старик обратил внимание левина на девочек и мальчиков которые с разных сторон чуть видные по высокой траве и по дороге шли к косцам неся оттягивавшие им ручонки узелки с хлебом и заткнутые тряпками кувшинчики с квасом
1033	левин шел за ним и часто думал что он непременно упадет поднимаясь с косою на такой крутой бугор куда и без косы трудно влезть но он взлезал и делал что надо
1033	vi машкин верх скосили доделали последние ряды надели кафтаны и весело пошли к дому
1033	левин шел за ним и часто думал что он непременно упадет поднимаясь с косою на такой крутой бугор куда и без косы трудно влезть но он взлезал и делал что надо
1038	пойдем зайдем и в контору если тебе нужно
1038	пойдем зайдем и в контору если тебе нужно
1042	на другой день по их приезде пошел проливной дождь и ночью потекло в коридоре и в детской так что кроватки перенесли в гостиную
1042	на другой день по их приезде пошел проливной дождь и ночью потекло в коридоре и в детской так что кроватки перенесли в гостиную
1050	потом подъехали к реке поставили лошадей под березками и пошли в купальню
1050	потом подъехали к реке поставили лошадей под березками и пошли в купальню
1067	он пошел на покос и осмотрел стога
1067	он пошел на покос и осмотрел стога
1069	да третий год пошел в филипповки
1069	да третий год пошел в филипповки
1075	пожимаясь от холода левин быстро шел глядя на землю
1075	он вышел из луга и пошел по большой дороге к деревне
1075	он вышел из луга и пошел по большой дороге к деревне
1075	пожимаясь от холода левин быстро шел глядя на землю
1099	она быстро пошла в дом в свой кабинет села к столу и написала мужу после того что произошло я не могу более оставаться в вашем доме
1099	она быстро пошла в дом в свой кабинет села к столу и написала мужу после того что произошло я не могу более оставаться в вашем доме
1100	ничего не нужно сказала она себе и сложив бювар пошла наверх объявила гувернантке и людям что она едет нынче в москву и тотчас принялась за укладку вещей
1100	ничего не нужно сказала она себе и сложив бювар пошла наверх объявила гувернантке и людям что она едет нынче в москву и тотчас принялась за укладку вещей
1109	княгиня тверская шла с тушкевичем и родственницей-барышней к великому счастию провинциальных родителей проводившей лето у знаменитой княгини
1109	княгиня тверская шла с тушкевичем и родственницей-барышней к великому счастию провинциальных родителей проводившей лето у знаменитой княгини
1119	я не пойду сказала лиза улыбаясь и подсаживаясь к анне
1119	вы тоже не пойдете что за охота играть в крокет
1119	тоже не пойдете что за охота играть в крокет
1119	я не пойду сказала лиза улыбаясь и подсаживаясь к анне
1141	россии нужны люди нужна партия иначе все идет и пойдет к собакам
1141	россии нужны люди нужна партия иначе все идет и пойдет к собакам
1147	он остановил кучера не доезжая до аллеи и отворив дверцу на ходу выскочил из кареты и пошел в аллею ведшую к дому
1147	он остановил кучера не доезжая до аллеи и отворив дверцу на ходу выскочил из кареты и пошел в аллею ведшую к дому
1158	ее он хотел встать раздумал потом лицо его вспыхнуло чего никогда прежде не видала анна и он быстро встал и пошел ей навстречу глядя не в глаза ей а выше на ее лоб и прическу
1169	сбежала впереди его за водой к колодцу
1203	правда что на скотном дворе дело шло до сих пор не лучше чем прежде и иван сильно противодействовал теплому помещению коров и сливочному маслу утверждая что корове на холоду потребуется меньше корму и что сметанное масло спорее и требовал жалованья как и в старину и нисколько не интересовался тем что деньги получаемые им были не жалованье а выдача вперед доли барыша
